format_version,title,original_title,author,isbn,publisher,publication_date,kind,reading_status,priority,note,started_at,finished_at,tags,collections,sources
bookatlas-csv/1,雾港档案,Mist Harbor Archive,岑雾舟,,虚构潮纹出版社,2024-03,book,reading,5,沿着旧地图寻找城市的记忆。先读港口与潮汐两章。,2026-08-12T09:00:00.000Z,,城市记忆|地图,雾港漫游,虚构灯塔书讯
bookatlas-csv/1,北岸来信,,岑雾舟,,虚构潮纹出版社,2022,essay_collection,read,3,写给一座尚未建成的海边小城。,2026-05-01T09:00:00.000Z,2026-05-18T09:00:00.000Z,书信,远方通信,虚构纸船目录
bookatlas-csv/1,潮汐街道,,陆苔序,,虚构巷陌社,2023-09,book,wish_to_read,4,从街道的名字读一座虚构城市。,,,城市记忆,街区观察,虚构巷陌书讯
bookatlas-csv/1,星图索引,An Index of Imagined Stars,闻星砚,,虚构夜航出版社,2025-01-16,reference,reference,4,供星空与航线的阅读计划查阅。,,,地图|观星,夜航笔记,虚构天穹目录
bookatlas-csv/1,灯塔以西,,苏汀弦,,虚构海岬社,2021-06,book,paused,2,下一次雾港漫游前继续阅读。,2026-07-04T09:00:00.000Z,,海岸,雾港漫游,虚构海岬季刊
bookatlas-csv/1,纸月航线,,乔纸汐,,虚构纸帆出版社,2020,other,wish_to_read,3,一册由航线与短句组成的虚构阅读实验。,,,航行,纸上远行,虚构灯塔书讯
bookatlas-csv/1,旧城的回声,,叶灰澜,,虚构回廊社,2024-11,essay_collection,read,2,记录空剧场与旧车站的声音。,2026-03-02T09:00:00.000Z,2026-03-20T09:00:00.000Z,城市记忆,声音采集,虚构回廊选刊
bookatlas-csv/1,机器与花园,Machines and Gardens,温榆格,,虚构苔原出版,2025-05,book,reading,4,关于机械秩序与植物生长的想象。,2026-08-25T09:00:00.000Z,,植物|设计,花园实验,虚构温室书讯
bookatlas-csv/1,玻璃温室手册,,孟苔音,,虚构苔原出版,2023-04-08,reference,reference,3,虚构植物观察工具书。,,,植物,花园实验,虚构叶片目录
bookatlas-csv/1,静默算法,,顾序岚,,虚构白格社,2022-10,book,wish_to_read,4,留意章节中的节奏与规则。,,,计算|设计,规则与形式,虚构白格书讯
bookatlas-csv/1,折纸气象台,,陶云折,,虚构云纸社,2019,other,archived,1,一份已归档的虚构天气观察练习。,,,天气,纸上实验,虚构云纸目录
bookatlas-csv/1,雨后第七行,,余墨岫,,虚构行间社,2024-02,essay_collection,abandoned,,暂时放下的虚构随笔集。,,,随笔,片刻阅读,虚构行间选刊
